Risk_Flag,Interest_Revenue,Sampling_Weight,Application_Date,Age,Income,Debt_Ratio,Nb_Borrowers,Region,Bank_Relationship,Loan_Amt,Loan_Amt_Req,LTV,FICO_Score,Prior_Custom_Score,Current_Custom_Score,CB_Age_Oldest_TL,CB_Age_Newest_TL,CB_Avg_Mos_File,CB_Nb_Sat_TL,CB_Nb_60_Plus_TL,CB_Nb_90_Plus_TL,CB_Pct_Sat_TL,CB_Mos_Since_Dlq,CB_Max_Dlq_12_Mos,CB_Max_Dlq_Ever,CB_Nb_Total_TL,CB_Nb_TL_Open_12,CB_Pct_IL_TL,CB_Nb_Inq_6_Mos,CB_Nb_Inq_6_Mos_excl_7_Days,CB_Rev_Util,CB_IL_Util,CB_Nb_Rev_TL_w_Bal,CB_Nb_IL_TL_w_Bal,CB_Nb_Rev_Tl_75_Pct_Limit,CB_Pct_TL_w_Bal
1,349.5,48.4082,20111001,29,5338,30,2,REG4,NA,165000,33190,100,756,281,235,96,5,47,16,0,0,100,999,7,8,16,3,31,0,0,15,88,4,2,0,67
0,797.85,1,20101001,62,2500,9,1,REG4,NA,22853,15000,66,576,228,193,311,25,76,12,1,0,60,2,3,5,15,0,20,1,1,84,64,5,2,2,88
0,1107,1,20110501,31,10000,17,1,REG4,NA,188815,35000,97,710,292,250,274,2,66,23,0,0,100,999,6,8,28,4,39,2,2,18,65,3,5,1,67
1,621,48.4082,20100401,53,1495,29,1,REG4,NA,35000,27000,77,684,276,251,256,6,117,11,1,1,100,999,7,8,14,1,8,0,0,13,.,2,.,0,67
0,0,1,20111001,39,1683,38,2,REG4,NA,34221,10000,86,651,233,194,262,26,95,3,2,2,75,27,6,4,6,0,100,0,0,.,.,.,1,.,100
0,1069.5,1,20100601,49,5667,33,2,REG4,NA,115000,23000,100,649,241,188,184,3,77,34,0,0,97,32,6,6,36,2,36,11,10,71,80,10,2,3,82
0,473.79,1,20100601,46,3470,30,2,REG4,NA,77220,9000,89,638,247,209,256,19,68,14,0,0,87,0,4,6,15,0,33,2,1,62,68,3,3,1,86
0,129.5,1,20110101,49,3917,34,2,REG4,NA,79000,16000,100,646,213,172,131,4,59,16,4,2,79,23,6,5,20,4,58,4,4,25,91,3,4,1,70
0,98,1,20111201,92,1775,42,1,REG4,NA,73656,50000,68,798,285,269,244,9,147,10,0,0,100,999,7,8,10,1,10,0,0,3,.,2,.,0,50
0,160,1,20100501,35,6667,14,1,REG4,NA,78000,50000,79,661,224,181,43,2,26,15,1,1,100,999,7,8,17,2,25,4,4,31,83,5,1,0,75
0,616.98,1,20110101,32,4167,14,1,REG4,NA,56668,11660,100,620,214,188,147,4,73,27,1,1,97,1,0,2,31,2,48,4,4,44,87,3,2,3,56
0,2259,1,20100801,68,3334,23,1,REG4,NA,95920,50000,52,698,283,256,365,11,83,22,0,0,100,999,7,8,22,1,41,0,0,49,23,6,2,1,73
1,503,48.4082,20110401,36,2887,21,1,REG4,NA,55825,15000,96,702,267,219,84,4,53,29,0,0,100,999,7,8,30,2,27,1,1,43,48,9,5,3,64
0,459,1,20100601,32,5500,39,1,REG4,NA,163240,42000,85,659,262,197,88,9,45,20,0,0,85,1,4,6,20,1,20,0,0,14,71,4,2,1,50
0,548,1,20100901,45,4492,17,2,REG4,NA,81389,20000,85,656,245,189,91,4,55,19,1,1,90,0,0,2,20,2,50,2,2,24,81,6,3,1,82
0,342.48,1,20110501,42,5333,18,1,REG4,NA,101300,6800,100,622,237,202,265,3,79,25,2,1,93,13,0,5,28,2,48,1,1,63,50,8,2,0,91
0,247,1,20101201,31,1410,21,1,REG4,NA,122606,20000,16,623,231,191,150,16,72,18,2,0,55,4,4,5,22,0,45,1,1,79,38,7,3,0,91
0,547.5,1,20101101,36,4833,15,2,REG4,NA,86339,20000,87,742,293,257,162,7,94,17,0,0,100,999,7,8,17,1,29,0,0,28,.,3,1,1,57
0,95.5,1,20101101,57,7500,16,2,REG4,NA,183623,25000,58,665,261,208,284,32,107,15,2,2,82,3,4,4,17,0,53,1,1,19,50,3,2,1,63
0,1563,1,20100701,53,15000,10,2,REG4,NA,126412,100000,79,686,197,187,476,8,157,38,4,4,100,999,6,8,39,1,36,4,4,50,54,14,2,4,89
1,21.5,48.4082,20110801,43,2465,23,1,REG4,NA,44000,10000,100,696,237,199,179,3,62,15,3,2,83,37,6,2,18,4,33,5,5,5,9,1,1,0,22
0,297.5,1,20101001,30,3334,22,2,REG4,NA,69832,16600,100,600,201,138,114,12,49,9,3,3,64,4,0,2,12,0,27,0,0,62,14,6,2,1,100
0,555,1,20110901,42,4480,43,2,REG4,NA,157500,45000,90,678,239,184,133,7,44,39,2,2,100,999,6,8,39,4,67,2,2,15,73,5,2,0,50
1,2005.5,48.4082,20120101,55,3333,23,2,REG4,NA,70000,50000,71,719,274,229,164,4,66,19,0,0,100,999,7,8,19,2,21,0,0,53,92,5,1,1,55
0,178,1,20101101,31,5067,24,2,REG4,NA,77518,8400,100,675,210,163,118,6,37,23,2,2,88,70,6,2,26,5,42,0,0,31,70,5,3,1,67
1,14.5,48.4082,20101001,32,11750,10,2,REG4,NA,88792,80000,90,788,312,269,153,33,92,13,0,0,100,999,7,8,14,0,7,0,0,1,.,1,.,0,25
0,535.64,1,20100801,55,4708,35,2,REG4,NA,57661,10000,72,585,222,191,186,13,96,22,3,1,84,2,0,2,25,0,56,4,3,79,50,5,3,3,100
0,826,1,20100901,49,2833,16,2,REG4,NA,40590,30000,74,688,281,205,127,25,57,23,0,0,96,.,6,6,24,0,13,0,0,51,.,9,.,1,67
0,433,1,20110101,32,3500,22,1,REG4,NA,73000,10300,100,663,212,181,116,10,37,14,1,1,93,72,6,2,15,1,13,2,2,52,.,3,1,2,56
0,23.5,1,20100401,21,1333,44,1,REG4,NA,48048,21000,100,732,240,204,21,4,13,11,0,0,100,999,7,8,11,5,64,3,3,7,.,3,.,0,75
1,0,48.4082,20100701,72,3087,34,2,REG4,NA,111430,70000,63,777,294,270,318,18,90,13,0,0,100,999,7,8,13,0,62,0,0,0,44,0,2,.,50
1,103.5,48.4082,20111101,46,12942,25,2,REG4,NA,257477,88400,100,799,308,254,230,13,73,11,0,0,100,999,7,8,13,0,62,0,0,1,71,1,4,0,71
0,1109.49,1,20100601,60,5500,17,1,REG4,NA,105000,22000,100,722,280,238,293,4,74,33,0,0,100,999,7,8,34,1,38,2,2,37,.,13,1,0,88
0,257.4,1,20110901,21,3380,9,2,REG4,NA,36000,5000,87,688,246,198,37,4,20,19,0,0,100,999,7,8,20,2,20,3,3,42,73,2,2,1,50
0,2013,1,20110701,50,12500,15,1,REG4,NA,145138,76800,100,709,279,210,255,16,100,40,0,0,100,999,7,8,44,0,23,1,1,79,.,18,1,13,80
0,1404.5,1,20101101,45,2250,46,1,REG4,NA,95000,50000,91,703,274,253,209,2,95,41,0,0,100,999,7,8,42,3,38,1,1,42,.,7,2,2,82
1,687,48.4082,20100401,54,5489,31,2,REG4,NA,117000,48400,92,761,291,246,398,3,118,29,0,0,100,999,7,8,29,2,31,3,3,22,87,6,3,0,69
1,336.5,48.4082,20100601,45,7083,18,2,REG4,NA,132792,25000,83,784,305,266,326,7,111,26,0,0,100,999,7,8,30,1,40,0,0,12,89,3,2,0,56
0,816.57,1,20101001,30,5133,12,1,REG4,NA,45000,16000,100,606,238,163,114,6,59,19,0,0,89,5,4,6,19,1,53,1,1,97,90,8,2,6,100
0,1502.5,1,20100801,70,8667,42,2,REG4,NA,393400,59330,95,660,224,173,478,12,97,44,0,0,89,1,4,6,47,0,32,9,9,63,.,9,.,6,60
0,2326.5,1,20100501,40,7083,23,2,REG4,NA,139447,66750,82,735,273,246,197,23,91,15,0,0,100,999,7,8,17,0,41,5,5,57,32,2,2,.,67
1,572.5,48.4082,20110601,49,5383,20,2,REG4,NA,108950,33900,98,741,309,240,243,17,77,35,0,0,97,67,6,6,39,0,36,2,2,20,.,4,1,0,56
0,1513.53,1,20100801,38,7700,15,2,REG4,NA,104610,30000,90,716,280,221,183,18,92,21,0,0,100,999,7,8,22,0,27,0,0,88,91,9,3,5,93
0,882.66,1,20100401,45,4217,48,1,REG4,NA,91234,17000,88,691,259,224,176,8,96,20,0,0,95,17,5,6,20,1,30,0,0,74,71,8,4,3,86
0,237,1,20100901,52,20000,20,1,REG4,NA,230000,72000,100,736,278,247,368,6,74,42,0,0,98,23,5,6,43,3,49,3,3,10,19,8,2,0,67
1,79.82,48.4082,20100701,37,0,.,2,REG4,NA,0,16000,27,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,1371.01,1,20101101,57,5825,21,2,REG4,NA,84500,26600,100,719,295,247,300,14,124,22,0,0,100,999,7,8,23,0,39,0,0,57,.,4,1,1,100
0,792.17,1,20110201,37,3829,30,2,REG4,NA,91059,15000,99,722,288,232,150,11,54,14,0,0,100,999,7,8,15,1,40,0,0,32,96,4,2,0,75
0,318,1,20100801,69,9001,7,2,REG4,NA,69591,9791,100,703,239,206,168,8,62,10,0,0,100,999,7,8,11,1,18,5,5,60,82,7,1,0,100
0,512.65,1,20100301,30,4933,13,2,REG4,NA,43923,9700,100,608,170,135,118,4,69,12,7,4,50,4,3,3,22,2,27,2,2,79,79,5,2,2,88
0,718,1,20101001,49,3750,30,1,REG4,NA,92840,32000,95,711,279,228,277,30,123,24,0,0,88,12,6,6,24,0,25,0,0,45,.,12,1,2,93
0,1293.75,1,20100701,50,6000,12,1,REG4,NA,60000,25000,88,653,207,199,174,1,62,11,1,0,79,5,3,5,14,1,29,5,5,37,101,5,2,2,70
0,438.5,1,20100301,32,3683,31,2,REG4,NA,91226,20000,96,752,300,246,137,9,66,34,0,0,100,999,7,8,34,1,62,1,1,24,92,3,4,0,78
1,1257.42,48.4082,20110801,38,3833,25,1,REG4,NA,87000,25000,94,750,288,263,126,9,78,18,0,0,100,999,7,8,18,1,83,0,0,0,64,1,3,.,80
1,374.83,48.4082,20120101,50,0,.,2,REG4,NA,0,30000,115,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,904.91,1,20100901,40,6588,18,2,REG4,NA,86950,17440,100,629,206,176,243,11,79,38,1,1,76,7,4,6,43,1,50,1,1,63,78,7,4,4,86
1,378.77,48.4082,20120101,41,0,.,1,REG4,NA,0,20000,49,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,285.16,1,20110201,52,0,.,2,REG4,NA,0,15000,78,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,996.5,1,20100401,59,3750,42,1,REG4,NA,49000,23550,100,665,263,239,176,11,81,43,0,0,98,3,4,6,44,1,39,2,2,36,64,3,4,1,47
0,1027.62,1,20100501,42,4168,25,2,REG4,NA,95678,20000,97,700,232,198,169,5,60,21,1,1,96,30,6,3,23,1,52,4,4,66,82,4,3,1,78
1,107.56,48.4082,20100901,88,0,.,2,REG4,NA,0,7400,31,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,581,48.4082,20110501,59,6333,18,2,REG4,NA,116600,15000,90,709,280,251,409,7,94,38,0,0,100,999,7,8,39,2,18,1,1,27,69,11,2,2,72
0,0,1,20100801,79,4107,18,2,REG4,NA,82355,15000,91,776,292,270,419,10,122,17,0,0,100,999,7,8,18,1,72,0,0,0,36,0,2,.,50
0,0,1,20100301,67,4552,36,1,REG4,NA,120000,108000,90,809,282,263,282,100,209,6,0,0,100,999,7,8,7,0,43,0,0,0,.,0,.,.,0
1,1178.5,48.4082,20101101,71,2218,34,2,REG4,NA,42163,40000,95,706,295,241,324,15,89,19,0,0,89,9,4,6,19,0,21,0,0,34,36,6,3,1,64
1,509.2,48.4082,20110801,44,4118,14,2,REG4,NA,53000,10000,90,736,297,242,134,2,63,35,0,0,93,32,6,6,40,3,40,0,0,22,55,5,4,0,60
0,522.5,1,20100501,52,5167,24,2,REG4,NA,95000,30000,100,663,216,181,155,8,37,20,1,1,95,8,4,6,21,1,38,2,2,49,87,5,5,1,67
0,381.5,1,20100401,29,4001,22,1,REG4,NA,54241,20000,83,719,240,224,70,1,38,8,0,0,100,999,7,8,9,1,78,4,3,17,.,2,1,.,100
1,752.22,48.4082,20110401,57,1333,33,2,REG4,NA,29546,15000,78,765,275,263,277,8,109,8,0,0,100,999,7,8,8,1,50,0,0,33,.,2,1,0,100
1,489.5,48.4082,20100901,58,6125,41,1,REG4,NA,175000,100000,86,716,308,250,294,12,94,39,0,0,98,.,6,6,40,0,35,2,2,17,.,6,5,0,61
1,1253.95,48.4082,20101001,61,3351,26,2,REG4,NA,116808,25000,50,634,220,185,357,17,141,9,4,3,67,3,3,4,13,0,50,1,1,28,.,4,.,.,100
1,432.26,48.4082,20110401,27,5661,19,2,REG4,NA,85000,8500,92,676,223,193,106,3,54,29,1,1,87,51,6,2,31,2,65,1,1,85,73,3,5,2,100
0,1186.22,1,20100301,25,3083,23,1,REG4,NA,111166,23500,54,671,215,204,85,7,44,15,1,1,93,45,6,6,16,2,33,0,0,59,62,3,2,2,83
0,617,1,20100801,46,4083,30,1,REG4,NA,86647,50000,75,694,253,223,282,1,73,22,0,0,96,.,6,6,25,5,4,2,2,37,39,11,1,1,80
0,709.5,1,20110801,38,5415,34,2,REG4,NA,257000,30000,80,577,226,217,204,2,91,23,2,0,82,1,3,5,28,2,32,6,6,32,.,5,.,0,67
0,302.5,1,20101001,63,2788,20,2,REG4,NA,63663,10000,67,647,262,232,151,19,99,5,1,1,80,16,6,6,6,0,80,0,0,40,75,1,2,0,100
0,292.73,1,20110201,57,0,.,2,REG4,NA,0,17000,100,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,1130.42,1,20110701,46,7500,11,2,REG4,NA,80000,22000,90,690,243,203,333,2,75,16,0,0,100,999,5,8,20,8,30,0,0,78,92,6,2,4,67
0,839.5,1,20101101,53,3000,42,1,REG4,NA,88000,30000,77,621,221,221,307,6,79,14,1,0,73,18,6,5,15,2,53,0,0,81,75,3,3,2,86
1,75.18,48.4082,20100701,74,2251,15,1,REG4,NA,44726,22363,50,.,244,198,17,17,17,1,0,0,100,999,9,8,1,0,100,0,0,.,.,.,.,.,.
1,580.5,48.4082,20101101,51,4011,35,2,REG4,NA,91000,36500,69,787,316,260,188,13,82,20,0,0,100,999,7,8,20,0,40,0,0,17,82,2,2,0,50
0,1609.19,1,20110101,45,1583,51,1,REG4,NA,74863,32000,89,659,251,191,107,7,48,40,0,0,100,999,6,8,43,4,42,2,2,80,86,5,2,4,70
0,1690.28,1,20100401,59,5500,23,2,REG4,NA,129000,33100,88,712,280,244,169,5,78,26,0,0,96,76,6,6,27,2,37,1,1,37,91,5,4,0,75
0,595,1,20100501,62,6333,28,2,REG4,NA,200684,41400,89,734,302,256,282,2,95,23,0,0,100,999,7,8,24,1,13,1,1,22,.,4,1,1,43
1,1044,48.4082,20100901,76,3829,36,2,REG4,NA,120000,27155,92,711,273,239,378,7,110,41,0,0,98,35,6,6,42,4,57,0,0,44,76,4,5,2,69
1,2559.5,48.4082,20110601,52,8608,19,2,REG4,NA,165440,60000,100,726,280,233,311,11,103,39,0,0,98,.,6,6,42,1,36,0,0,46,73,5,4,1,69
0,261.52,1,20100801,50,5833,12,1,REG4,NA,74000,5000,100,674,229,195,299,2,79,25,0,0,89,15,5,6,27,3,37,12,11,63,63,13,3,4,94
1,282,48.4082,20100301,33,2000,23,1,REG4,NA,52987,20000,38,614,165,153,76,6,32,11,2,2,92,15,5,2,14,5,17,3,3,83,42,5,2,2,100
1,12.5,48.4082,20100901,52,5417,16,1,REG4,O_Open,82378,31000,90,790,304,270,211,20,103,13,0,0,100,999,7,8,14,0,57,0,0,0,19,2,3,0,71
0,860,1,20100801,39,5922,22,1,REG4,M_Open,111000,65500,89,715,267,220,169,2,59,21,0,0,100,999,7,8,22,4,36,4,4,43,112,4,6,0,83
0,1101.5,1,20110401,69,7224,29,2,REG4,O_Open,116644,29000,89,666,250,225,127,2,69,17,0,0,94,16,6,6,18,4,33,3,3,42,81,3,4,3,58
1,1008.61,48.4082,20111101,66,4332,31,2,REG4,M_Open,171000,20000,82,752,280,253,220,2,91,20,0,0,100,999,7,8,23,2,39,2,2,36,.,3,1,1,67
0,3364,1,20110601,68,4000,52,1,REG4,M_Open,180378,100000,72,695,260,227,177,8,95,24,0,0,96,.,6,6,24,1,75,1,1,87,87,4,2,3,100
0,397.8,1,20100601,45,4611,8,2,REG4,O_Open,35864,7000,99,686,244,230,112,2,43,5,0,0,100,999,7,8,7,2,43,1,1,37,58,3,2,0,83
1,974.5,48.4082,20101001,58,4024,46,2,REG4,M_Open,154000,70000,64,713,271,238,150,13,91,13,1,1,93,35,6,2,14,0,29,0,0,36,.,1,1,1,40
0,1910,1,20100801,76,4501,20,1,REG4,O_Open,72512,60000,83,610,223,161,224,21,109,27,1,1,79,4,4,6,28,0,21,1,1,101,79,15,1,11,94
0,1000.72,1,20100701,48,3301,23,2,REG4,O_Open,54472,20000,48,660,268,223,243,9,89,23,0,0,83,2,4,6,23,1,52,0,0,49,75,4,4,1,80
1,306.37,48.4082,20110901,88,0,.,2,REG4,NA,0,10600,21,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,219,48.4082,20110401,51,4027,28,2,REG4,O_Ever,35915,32000,89,812,320,267,152,15,154,14,0,0,100,999,7,8,15,0,47,0,0,7,79,2,2,0,80
1,65,48.4082,20110501,56,7500,21,2,REG4,O_Open,104621,87000,86,804,284,275,150,3,108,10,0,0,100,999,7,8,11,1,64,1,1,2,41,1,3,0,67
1,55,48.4082,20110401,48,10416,21,1,REG4,M_Ever,229000,26000,90,709,276,258,183,6,90,19,1,1,100,999,7,8,19,1,32,0,0,6,52,1,2,0,50
0,478,1,20110201,54,3167,25,1,REG4,M_Ever,86735,18000,92,670,219,207,255,1,80,14,1,1,88,9,4,6,16,3,69,4,4,58,60,3,4,1,88
1,148.74,48.4082,20101201,88,0,.,2,REG4,NA,0,30000,67,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,20,1,20101201,31,2674,17,2,REG4,M_Open,41000,10000,100,786,312,249,120,12,59,26,0,0,100,999,7,8,26,0,54,1,1,1,.,2,1,0,75
0,0,1,20101001,51,2000,18,1,REG4,NA,38390,23970,100,658,233,191,246,16,106,5,3,3,88,57,6,3,8,0,88,1,1,.,144,.,4,.,100
0,350.02,1,20110601,88,0,.,2,REG4,NA,0,15000,93,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,643.5,1,20101101,62,2532,26,2,REG4,M_Open,55083,15000,100,649,212,183,123,2,40,5,1,1,86,29,6,4,7,4,43,0,0,77,.,3,1,1,100
1,122.5,48.4082,20110901,36,7225,41,2,REG4,M_Open,472835,55000,55,734,291,232,177,1,65,26,0,0,96,.,6,6,28,3,46,1,1,4,72,4,5,0,64
0,59.37,1,20100401,39,0,.,1,REG4,NA,0,20000,24,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,324,1,20100301,79,1375,55,2,REG4,M_Open,90437,20000,75,715,298,258,212,23,105,11,0,0,82,21,6,6,11,0,45,1,1,13,.,1,1,0,100
1,79.5,48.4082,20111001,39,6467,43,2,REG4,M_Ever,233090,50000,88,680,211,203,224,9,110,24,5,5,86,25,6,2,29,1,31,5,5,5,73,2,2,.,71
0,434,1,20101201,62,5272,41,1,REG4,O_Ever,96500,60500,93,640,212,178,208,6,96,24,3,2,74,44,6,2,27,3,63,2,2,53,77,6,4,2,92
0,620.23,1,20100301,37,4917,22,2,REG4,NA,67700,12000,100,652,234,198,203,2,79,16,0,0,59,3,4,6,17,1,47,3,3,55,77,7,3,1,91
0,293.6,1,20110501,65,4153,31,2,REG4,NA,73000,5369,70,685,230,219,160,5,109,11,1,1,92,20,6,3,13,1,31,0,0,94,.,3,2,3,100
0,145.14,1,20100701,44,0,.,2,REG4,NA,0,10000,32,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,492.5,1,20100701,48,16959,24,2,REG4,O_Open,255000,140000,55,571,190,151,103,4,48,10,12,9,53,7,0,2,17,1,35,2,2,37,66,5,2,0,80
0,1093.5,1,20101001,44,3482,37,1,REG4,O_Ever,68464,30400,100,713,264,239,159,9,69,26,0,0,100,999,6,7,27,2,48,0,0,61,67,3,4,2,78
0,1193.5,1,20110201,43,2132,25,1,REG4,NA,45000,35000,78,663,247,218,241,37,95,15,0,0,76,0,4,6,17,0,29,1,1,51,43,3,1,1,80
0,336,1,20100701,35,3450,29,1,REG4,M_Open,102245,25000,98,743,303,260,203,6,91,15,0,0,100,999,7,8,17,1,29,0,0,16,93,6,2,1,69
0,514.54,1,20100501,25,2925,32,2,REG4,NA,85250,10000,99,642,220,184,61,10,41,9,0,0,80,.,5,6,10,1,50,2,2,80,95,4,3,1,100
0,1047.44,1,20110101,51,5083,23,2,REG4,O_Ever,155000,20000,88,619,247,211,178,2,79,23,0,0,92,2,4,6,26,2,58,3,3,57,77,5,2,1,100
0,832,1,20101001,59,3024,28,1,REG4,M_Open,79989,16000,88,626,213,203,131,7,81,13,1,0,69,5,4,5,17,1,50,2,2,75,.,3,2,1,100
0,1084.5,1,20101101,88,3067,25,2,REG4,O_Open,81736,52000,64,696,271,242,103,15,94,6,1,0,86,13,6,5,7,0,14,0,0,48,.,2,.,0,67
1,93.5,48.4082,20100701,40,5000,36,1,REG4,M_Open,122831,61000,90,776,318,262,168,15,85,33,0,0,97,51,6,6,34,0,38,0,0,3,.,3,2,0,56
1,566,48.4082,20100401,27,3333,30,1,REG4,O_Open,110785,19900,90,762,270,239,106,3,62,28,0,0,100,999,7,8,28,5,11,4,4,17,.,2,1,0,60
0,257.52,1,20101201,88,0,.,2,REG4,NA,0,5100,93,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,299.54,1,20101201,37,5736,5,2,REG4,NA,36000,5000,69,631,217,149,198,6,89,29,3,2,79,21,6,2,34,1,38,3,3,38,98,11,1,1,86
0,322.67,1,20100401,48,4167,11,1,REG4,M_Open,45000,6000,98,626,201,159,256,0,50,11,1,0,44,1,4,5,16,1,75,1,1,93,74,3,6,2,90
1,248.03,48.4082,20110601,41,0,.,2,REG4,NA,0,87200,87,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,1243,48.4082,20100401,38,5469,32,2,REG4,NA,139794,38000,97,605,214,190,203,7,81,19,2,1,86,3,3,5,21,2,33,3,3,56,87,3,2,1,83
1,552.04,48.4082,20110701,66,1667,17,1,REG4,O_Open,48125,11000,23,715,303,248,258,28,97,23,0,0,96,.,6,6,24,0,13,0,0,31,.,4,.,0,57
0,0,1,20100501,52,5000,27,2,REG4,NA,145000,10000,97,736,219,207,41,3,16,3,0,0,100,999,7,8,3,2,67,16,16,0,.,0,1,.,50
1,12,48.4082,20110601,46,4876,26,2,REG4,M_Open,76890,9250,100,660,221,198,14,0,4,3,0,0,100,999,7,8,6,5,33,9,9,1,98,1,2,0,50
1,130.5,48.4082,20100701,63,3104,37,2,REG4,M_Open,143825,50000,78,747,276,236,233,3,106,28,0,0,97,2,4,6,30,4,37,3,3,4,98,4,2,0,86
0,46.5,1,20100601,46,5167,18,1,REG4,NA,87252,20000,97,689,255,197,252,3,73,20,4,2,88,31,6,3,24,4,67,1,1,16,93,3,2,0,63
0,1333.77,1,20101201,48,3500,23,1,REG4,M_Ever,73755,26000,91,628,186,166,.,5,82,20,5,5,78,6,4,2,27,1,67,1,1,98,84,2,4,.,100
0,369.5,1,20100801,57,61667,6,1,REG4,M_Open,571000,100000,31,618,239,198,246,4,72,34,2,1,88,3,1,3,40,4,73,3,3,12,70,3,12,0,89
0,553.5,1,20110101,53,7500,14,1,REG4,O_Open,78000,33000,100,731,265,227,154,3,55,31,0,0,100,999,7,8,32,6,63,2,1,26,74,5,14,0,86
0,1168.03,1,20100901,45,6667,12,1,REG4,O_Open,73500,22500,100,660,235,176,37,13,24,11,0,0,100,999,7,8,11,0,27,4,4,81,.,6,1,2,88
0,806,1,20110401,28,3167,22,2,REG4,M_Open,62000,17500,100,672,237,220,97,2,46,8,0,0,100,999,7,8,9,1,33,1,1,66,48,5,2,1,88
0,760.83,1,20100301,70,2000,36,1,REG4,O_Ever,51678,15000,85,708,262,182,136,6,77,25,0,0,100,999,7,8,25,4,36,3,3,54,100,11,1,1,100
0,1206.5,1,20100501,68,3410,28,2,REG4,M_Open,72000,25000,100,709,287,236,190,8,113,27,0,0,100,999,7,8,30,1,23,0,0,40,78,9,3,1,68
0,1407.5,1,20100301,39,6667,18,2,REG4,M_Open,113000,40000,97,730,292,254,221,17,93,46,0,0,100,999,7,8,51,0,36,0,0,41,.,8,1,2,75
0,2537.71,1,20100401,59,9333,40,2,REG4,O_Open,195590,50000,97,638,252,216,190,7,118,34,0,0,82,22,5,6,34,1,50,0,0,97,78,6,4,4,100
